"well","plate","strain","plasmid","row","column","stress","temperature","doxycycline","well_id","v_max","auc","final_abs"
"F4",2,"Tet-O7-ERG6","pRS315-CparERG6","F",4,"None",30,"10 µg/mL","F4_2",0.024,33.6239914713542,1.142
"F5",2,"Tet-O7-ERG6","pRS315-CparERG6","F",5,"None",30,"10 µg/mL","F5_2",0.026,35.6229707682292,1.205
"F6",2,"Tet-O7-ERG6","pRS315-CparERG6","F",6,"None",30,"10 µg/mL","F6_2",0.024,33.3039498372396,1.104
"F7",2,"▲erg3","pRS315-CparERG3","F",7,"None",30,"None","F7_2",0.03,39.2416531575521,1.253
"F8",2,"▲erg3","pRS315-CparERG3","F",8,"None",30,"None","F8_2",0.024,31.6996177408854,1.071
"F9",2,"▲erg3","pRS315-CparERG3","F",9,"None",30,"None","F9_2",0.028,36.927880859375,1.216
"F10",2,"▲erg6","pRS315-CparERG6","F",10,"None",30,"None","F10_2",0.027,37.1506978190104,1.197
"F11",2,"▲erg6","pRS315-CparERG6","F",11,"None",30,"None","F11_2",0.028,37.434748828125,1.235
"F12",2,"▲erg6","pRS315-CparERG6","F",12,"None",30,"None","F12_2",0.029,39.3457510416667,1.219
"G1",2,"Tet-O7-ERG3","pRS315-CtroERG3","G",1,"None",30,"10 µg/mL","G1_2",0.027,37.404756640625,1.191
"G2",2,"Tet-O7-ERG3","pRS315-CtroERG3","G",2,"None",30,"10 µg/mL","G2_2",0.028,38.72891171875,1.228
"G3",2,"Tet-O7-ERG3","pRS315-CtroERG3","G",3,"None",30,"10 µg/mL","G3_2",0.028,37.91312421875,1.216
"G4",2,"Tet-O7-ERG6","pRS315-CtroERG6","G",4,"None",30,"10 µg/mL","G4_2",0.027,36.1290889322917,1.212
"G5",2,"Tet-O7-ERG6","pRS315-CtroERG6","G",5,"None",30,"10 µg/mL","G5_2",0.026,36.71943515625,1.231
"G6",2,"Tet-O7-ERG6","pRS315-CtroERG6","G",6,"None",30,"10 µg/mL","G6_2",0.022,30.3828357421875,1.044
"G7",2,"▲erg3","pRS315-CtroERG3","G",7,"None",30,"None","G7_2",0.03,39.7221529947917,1.265
"G8",2,"▲erg3","pRS315-CtroERG3","G",8,"None",30,"None","G8_2",0.03,38.5817000651042,1.255
"G9",2,"▲erg3","pRS315-CtroERG3","G",9,"None",30,"None","G9_2",0.029,37.3401484700521,1.242
"G10",2,"▲erg6","pRS315-CtroERG6","G",10,"None",30,"None","G10_2",0.028,37.3570190755208,1.24
"G11",2,"▲erg6","pRS315-CtroERG6","G",11,"None",30,"None","G11_2",0.027,36.5808462565104,1.211
"G12",2,"▲erg6","pRS315-CtroERG6","G",12,"None",30,"None","G12_2",0.029,39.7435224283854,1.233
"A1",3,"Tet-O7-ERG3","pRS315","A",1,"0.005% SDS",30,"10 µg/mL","A1_3",0.011,16.041125,0.981
"A2",3,"Tet-O7-ERG3","pRS315","A",2,"0.005% SDS",30,"10 µg/mL","A2_3",0.0169999999999999,24.996125,1.218
"A3",3,"Tet-O7-ERG3","pRS315","A",3,"0.005% SDS",30,"10 µg/mL","A3_3",0.0189999999999999,26.715625,1.306
"A4",3,"Tet-O7-ERG6","pRS315","A",4,"0.005% SDS",30,"10 µg/mL","A4_3",0.019,32.13025,1.195
"A5",3,"Tet-O7-ERG6","pRS315","A",5,"0.005% SDS",30,"10 µg/mL","A5_3",0.02,33.947875,1.271
"A6",3,"Tet-O7-ERG6","pRS315","A",6,"0.005% SDS",30,"10 µg/mL","A6_3",0.017,29.42825,1.167
"A7",3,"▲erg3","pRS315","A",7,"0.005% SDS",30,"None","A7_3",0.002,5.857875,0.199
"A8",3,"▲erg3","pRS315","A",8,"0.005% SDS",30,"None","A8_3",0.001,5.326625,0.155
